country,PACOVW.2012
Afghanistan,0.76946809
Albania,9.700232103
Algeria,3.303474746
American Samoa,1.626253773
Andorra,5.715822308
Angola,10.60284532
Anguilla,3.64659889
Antigua and Barbuda,10.30948611
Argentina,6.102405987
Armenia,12.5706411
Aruba,0.037547859
Australia,12.06467533
Austria,15.97911542
Azerbaijan,11.71210852
Bahamas,13.90165581
Bahrain,1.271795794
Bangladesh,5.185300335
Barbados,0.091472478
Belarus,7.012595595
Belgium,14.67708087
Belize,16.94314413
Benin,16.7935989
Bermuda,5.476381105
Bhutan,16.34275
Bolivia,15.58845592
Bosnia and Herzegovina,0.424993148
Botswana,17
Brazil,12.50151107
British Virgin Islands,5.46328597
Brunei Darussalam,17
Bulgaria,17
Burkina Faso,14.23755472
Burundi,5.185123653
Cambodia,17
Cameroon,11.0680583
Canada,9.860954752
Cape Verde,2.48940266
Cayman Islands,10.34637525
Central African Republic,16.49336963
Chad,8.708221067
Chile,8.056814886
China,13.66981927
Colombia,13.12807852
Comoros,0
Congo,9.407968503
Cook Islands,1.300628492
Costa Rica,15.1776867
Cote d'Ivoire,17
Croatia,9.380273608
Cuba,9.220790416
Cyprus,17
Czech Republic,16.72958063
Dem. Rep. Congo,10.1579661
Denmark,12.7062798
Djibouti,0.000871526
Dominica,14.47017751
Dominican Republic,16.49473544
Ecuador,13.00429631
Egypt,6.453011752
El Salvador,0.67730783
Equatorial Guinea,17
Eritrea,4.343268472
Estonia,17
Ethiopia,14.09901534
Faeroe Islands,"-9,999"
Falkland Islands,0.248273515
Fiji,3.106574651
Finland,8.582794381
France,14.72558403
French Guiana,17
French Polynesia,1.008945386
Gabon,14.42254421
Gambia,5.888682481
Georgia,7.52092929
Germany,17
Ghana,10.03266419
Gibraltar,5.124450952
Greece,16.33880892
Greenland,17
Grenada,0.640767636
Guadeloupe,17
Guam,17
Guatemala,9.148770386
Guinea,4.120670693
Guinea-Bissau,16.89104793
Guyana,4.419991674
Haiti,0.469009431
Holy See,"-9,999"
Honduras,13.54710838
Hong Kong,17
Hungary,5.026107547
Iceland,15.55996824
India,6.175787982
Indonesia,14.80760435
Iran,5.846246329
Iraq,0
Ireland,1.761580939
Isle of Man,"-9,999"
Israel,6.879786228
Italy,10.74093356
Jamaica,16.26455461
Japan,15.43182594
Jordan,1.274968281
Kazakhstan,3.327824712
Kenya,11.85976402
Kiribati,17
Kuwait,17
Kyrgyzstan,3.71151699
Laos,16.47581725
Latvia,17
Lebanon,0.435337616
Lesotho,0.220582886
Liberia,1.05237139
Libya,0.345593876
Liechtenstein,15.45191323
Lithuania,14.91754826
Luxembourg,17
Macao,"-9,999"
Macedonia,7.963866288
Madagascar,3.072160179
Malawi,12.39099623
Malaysia,17
Maldives,"-9,999"
Mali,3.386785144
Malta,17
Marshall Islands,1.76136225
Martinique,17
Mauritania,0.431177509
Mauritius,4.813846704
Mayotte,5.78845861
Mexico,11.29796765
Micronesia,1.649698036
Moldova,1.214590517
Monaco,17
Mongolia,10.09940895
Montenegro,13.08986319
Montserrat,1.942379725
Morocco,2.113997473
Mozambique,16.22556937
Myanmar,4.396016042
Namibia,17
Nauru,"-9,999"
Nepal,7.246920869
Netherlands,17
Netherlands Antilles,"-9,999"
New Caledonia,17
New Zealand,14.32588173
Nicaragua,15.62423295
Niger,11.87083573
Nigeria,9.897919849
Niue,10.37912211
Norfolk Island,11.66000726
North Korea,2.163897075
Northern Mariana Islands,3.218607318
Norway,13.31703607
Oman,9.178547121
Pakistan,8.688930992
Palau,11.20608972
Panama,13.0084037
Papua New Guinea,2.128057333
Paraguay,5.348540446
Peru,11.96556364
Philippines,12.96136691
Pitcairn,"-9,999"
Poland,17
Portugal,8.298664149
Puerto Rico,13.93208565
Qatar,2.15911903
Reunion,17
Romania,8.690892056
Russia,10.92783815
Rwanda,10.15985719
Saint Helena,14.64840115
Saint Kitts and Nevis,0.101599546
Saint Lucia,5.605014769
Saint Pierre and Miquelon,17
Saint Vincent and the Grenadines,0.483407676
Samoa,6.449858072
San Marino,"-9,999"
Sao Tome and Principe,"-9,999"
Saudi Arabia,17
Senegal,13.49174066
Serbia,16.84972592
Seychelles,12.30832228
Sierra Leone,5.588286449
Singapore,4.839454667
Slovakia,15.48786689
Slovenia,17
Solomon Islands,1.436399461
Somalia,0.605332769
South Africa,7.245041357
South Korea,6.171793444
Spain,7.83896071
Sri Lanka,16.51330114
State of Palestine,0
Sudan,0.477189732
Suriname,14.26239006
Svalbard and Jan Mayen Islands,17
Swaziland,2.960385718
Sweden,8.552116517
Switzerland,17
Syria,0.556911184
Taiwan,11.50033283
Tajikistan,5.769485866
Tanzania,16.9530913
Thailand,8.777780361
Timor-Leste,8.65171757
Togo,11.28969964
Tokelau,7.978363759
Tonga,16.52389732
Trinidad and Tobago,15.64837796
Tunisia,3.197953009
Turkey,2.437886355
Turkmenistan,3.728995722
Turks and Caicos Islands,16.94880747
Tuvalu,3.303303303
Uganda,15.06165671
Ukraine,3.80709556
United Arab Emirates,16.0829487
United Kingdom,17
United States of America,10.16842743
United States Virgin Islands,15.69376769
Uruguay,0.456422255
Uzbekistan,3.950162263
Vanuatu,4.137046428
Venezuela,17
Viet Nam,3.598520656
Wallis and Futuna Islands,0.197018454
Western Sahara,"-9,999"
Yemen,0.558893633
Zambia,17
Zimbabwe,16.82391738